Date,Open,High,Low,Close,Volume
2022-11-22 14:00:00+00:00,277.48,277.54,274.85,275.31,5912993.0
2022-11-22 15:00:00+00:00,275.31,277.87,275.16,277.79,7025866.0
2022-11-22 16:00:00+00:00,277.79,277.91,276.98,277.62,5616255.0
2022-11-22 17:00:00+00:00,277.62,278.21,277.59,277.88,3219095.0
2022-11-22 18:00:00+00:00,277.9,278.99,277.65,278.94,4485588.0
2022-11-22 19:00:00+00:00,278.94,279.14,278.38,278.98,4003539.0
2022-11-22 20:00:00+00:00,278.97,280.39,278.91,280.2,7333497.0
2022-11-22 21:00:00+00:00,280.2,280.26,279.81,279.92,2264779.0
2022-11-22 22:00:00+00:00,279.95,280.08,279.84,280.08,45921.0
2022-11-22 23:00:00+00:00,280.13,280.23,279.9,280.03,1635275.0
2022-11-23 00:00:00+00:00,280.06,280.28,279.84,279.92,206856.0
2022-11-23 09:00:00+00:00,279.89,280.95,279.89,280.83,28934.0
2022-11-23 10:00:00+00:00,280.7,280.7,280.23,280.48,31691.0
2022-11-23 11:00:00+00:00,280.5,280.87,280.2,280.87,40205.0
2022-11-23 12:00:00+00:00,280.88,281.27,280.53,281.06,108226.0
2022-11-23 13:00:00+00:00,280.8,281.26,279.92,280.45,588296.0
2022-11-23 14:00:00+00:00,280.48,282.68,280.17,282.18,5829620.0
2022-11-23 15:00:00+00:00,282.23,283.58,281.52,283.28,6189842.0
2022-11-23 16:00:00+00:00,283.26,283.49,280.66,281.13,4930679.0
2022-11-23 17:00:00+00:00,281.11,281.86,280.07,280.52,3663027.0
2022-11-23 18:00:00+00:00,280.52,282.02,280.32,281.73,3021288.0
2022-11-23 19:00:00+00:00,281.76,283.45,281.01,283.0,8757706.0
2022-11-23 20:00:00+00:00,283.01,283.67,282.41,283.08,8491602.0
2022-11-23 21:00:00+00:00,283.08,283.36,282.99,283.28,4995396.0
2022-11-23 22:00:00+00:00,283.28,283.41,283.04,283.37,151509.0
2022-11-23 23:00:00+00:00,283.41,283.58,283.27,283.54,50870.0
2022-11-24 00:00:00+00:00,283.55,283.79,283.55,283.76,101744.0
2022-11-25 09:00:00+00:00,284.02,284.02,282.64,282.73,97608.0
2022-11-25 10:00:00+00:00,282.76,283.24,282.62,283.04,26332.0
2022-11-25 11:00:00+00:00,283.03,283.06,282.48,282.49,26834.0
2022-11-25 12:00:00+00:00,282.5,282.8,282.26,282.33,113863.0
