Date,Close,High,Low,Open,Volume
2024-10-23,29.0,30.0,26.799999237060547,28.0,2750
2024-10-24,31.0,86.0,28.600000381469727,28.600000381469727,2151560
2024-10-25,28.600000381469727,31.0,27.600000381469727,30.399999618530273,36570
2024-10-28,29.600000381469727,30.600000381469727,28.799999237060547,30.600000381469727,13780
2024-10-29,26.0,31.799999237060547,25.600000381469727,29.600000381469727,13160
2024-10-30,20.600000381469727,25.799999237060547,20.200000762939453,25.799999237060547,14175
2024-10-31,17.200000762939453,21.600000381469727,15.0,19.600000381469727,11215
2024-11-01,17.200000762939453,18.0,16.200000762939453,17.0,3050
2024-11-04,18.200000762939453,18.600000381469727,16.200000762939453,16.200000762939453,2160
2024-11-05,18.0,18.600000381469727,17.0,18.200000762939453,1170
2024-11-06,16.600000381469727,18.0,16.200000762939453,18.0,2185
2024-11-07,16.399999618530273,17.399999618530273,16.200000762939453,17.399999618530273,1160
2024-11-08,16.600000381469727,16.600000381469727,15.399999618530273,16.0,2045
2024-11-11,16.600000381469727,17.0,16.600000381469727,16.799999237060547,515
2024-11-12,17.200000762939453,17.200000762939453,16.600000381469727,17.0,1045
2024-11-13,17.0,17.0,15.399999618530273,17.0,1905
2024-11-14,16.0,17.0,15.800000190734863,17.0,975
2024-11-15,16.0,16.799999237060547,15.800000190734863,15.800000190734863,205
2024-11-18,15.600000381469727,16.799999237060547,15.600000381469727,16.0,440
2024-11-19,16.200000762939453,16.399999618530273,15.399999618530273,16.399999618530273,340
2024-11-20,17.0,17.200000762939453,15.399999618530273,15.399999618530273,525
2024-11-21,18.200000762939453,21.200000762939453,17.399999618530273,18.600000381469727,34130
2024-11-22,17.200000762939453,18.0,16.200000762939453,18.0,7210
2024-11-25,19.200000762939453,19.399999618530273,17.200000762939453,18.200000762939453,3185
2024-11-26,17.200000762939453,19.399999618530273,16.600000381469727,17.399999618530273,57110
2024-11-27,18.600000381469727,19.0,15.399999618530273,16.200000762939453,11745
2024-11-29,20.200000762939453,21.200000762939453,18.399999618530273,19.200000762939453,7055
2024-12-02,20.600000381469727,22.0,20.0,20.0,6110
2024-12-03,21.600000381469727,22.600000381469727,20.799999237060547,21.200000762939453,3805
2024-12-04,20.200000762939453,21.600000381469727,20.200000762939453,21.600000381469727,2275
2024-12-05,20.0,21.399999618530273,19.799999237060547,20.600000381469727,4320
2024-12-06,21.399999618530273,21.600000381469727,20.600000381469727,20.600000381469727,2880
2024-12-09,20.399999618530273,22.399999618530273,18.600000381469727,22.200000762939453,5405
2024-12-10,18.399999618530273,20.200000762939453,18.0,19.799999237060547,2955
2024-12-11,16.799999237060547,18.200000762939453,16.399999618530273,16.799999237060547,31735
2024-12-12,19.600000381469727,20.0,17.0,17.0,5925
2024-12-13,19.200000762939453,19.799999237060547,18.399999618530273,19.600000381469727,2790
2024-12-16,19.399999618530273,19.600000381469727,18.799999237060547,19.200000762939453,890
2024-12-17,18.200000762939453,18.600000381469727,18.200000762939453,18.399999618530273,970
2024-12-18,18.600000381469727,20.0,18.0,18.0,1725
2024-12-19,18.799999237060547,20.799999237060547,18.399999618530273,19.0,7055
2024-12-20,20.200000762939453,20.799999237060547,18.600000381469727,19.200000762939453,1490
2024-12-23,23.799999237060547,25.399999618530273,20.399999618530273,20.799999237060547,20210
2024-12-24,21.799999237060547,24.200000762939453,21.799999237060547,23.799999237060547,19335
2024-12-26,21.0,21.200000762939453,19.399999618530273,21.0,61355
2024-12-27,21.0,21.200000762939453,20.0,20.799999237060547,4110
2024-12-30,22.600000381469727,23.399999618530273,20.200000762939453,20.200000762939453,9145
2024-12-31,22.600000381469727,25.0,20.799999237060547,24.399999618530273,25670
2025-01-02,21.600000381469727,22.600000381469727,20.600000381469727,22.600000381469727,4990
2025-01-03,22.399999618530273,23.0,20.399999618530273,21.600000381469727,4210
2025-01-06,21.0,22.399999618530273,20.200000762939453,22.399999618530273,3150
2025-01-07,21.399999618530273,22.0,20.600000381469727,21.399999618530273,2810
2025-01-08,20.0,20.600000381469727,19.0,20.600000381469727,3375
2025-01-10,19.200000762939453,19.200000762939453,18.600000381469727,18.600000381469727,1500
2025-01-13,18.600000381469727,18.799999237060547,18.0,18.799999237060547,1390
2025-01-14,18.799999237060547,18.799999237060547,17.600000381469727,18.200000762939453,1160
2025-01-15,18.799999237060547,20.600000381469727,18.600000381469727,18.799999237060547,695
2025-01-16,19.399999618530273,20.0,18.799999237060547,18.799999237060547,250
2025-01-17,20.0,22.0,19.399999618530273,19.399999618530273,3805
2025-01-21,19.600000381469727,20.399999618530273,19.600000381469727,20.0,1860
2025-01-22,19.0,19.799999237060547,18.799999237060547,19.200000762939453,360
2025-01-23,18.799999237060547,20.0,18.799999237060547,19.0,970
2025-01-24,17.799999237060547,19.600000381469727,16.799999237060547,18.399999618530273,12315
2025-01-27,20.0,39.0,16.399999618530273,17.399999618530273,1410475
2025-01-28,22.799999237060547,23.0,19.0,23.0,344885
2025-01-29,20.200000762939453,21.600000381469727,19.200000762939453,21.600000381469727,24980
2025-01-30,19.399999618530273,22.799999237060547,18.799999237060547,19.799999237060547,28350
2025-01-31,20.200000762939453,22.799999237060547,19.200000762939453,20.200000762939453,26250
